"United States"
"Life expectancy at birth (years)","78.9"
" Age-standardized mortality rate attributed to noncommunicable diseases, female ","353.5"
"Age-standardized mortality rate attributed to noncommunicable diseases, male","492.3"
"Child malnutrition, stunting (moderate or severe) (% under age 5)","3.5"
"Current health expenditure (% of GDP)","17.1"
"HIV prevalence, adult (% ages 15-49)","n.a."
"Infants lacking immunization, DTP (% of one-year-olds)","3"
"Infants lacking immunization, measles (% of one-year-olds)","10"
"Life expectancy at birth, female (years)","81.4"
"Life expectancy at birth, male (years)","76.3"
"Life expectancy index","0.906"
"Malaria incidence (per 1,000 people at risk)","n.a."
"Mortality rate, female adult (per 1,000 people)","82"
"Mortality rate, infant (per 1,000 live births)","5.6"
"Mortality rate, male adult (per 1,000 people)","139"
"Mortality rate, under-five (per 1,000 live births)","6.5"
"Tuberculosis incidence (per 100,000 people)","3.0"
"Expected years of schooling (years)","16.3"
"Education index","0.900"
"Expected years of schooling, female (years)","16.9"
"Expected years of schooling, male (years)","15.7"
"Government expenditure on education (% of GDP)","5.0"
"Gross enrolment ratio, pre-primary (% of preschool-age children)","73"
"Gross enrolment ratio, primary (% of primary school-age population)","102"
"Gross enrolment ratio, secondary (% of secondary school-age population)","99"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","88"
"Literacy rate, adult (% ages 15 and older)","n.a."
"Mean years of schooling (years)","13.4"
"Mean years of schooling, female (years)","13.5"
"Mean years of schooling, male (years)","13.4"
" Percentage of primary schools with access to the internet ","n.a."
" Percentage of secondary schools with access to the internet ","n.a."
"Population with at least some secondary education (% ages 25 and older)","96.0"
"Population with at least some secondary education, female (% ages 25 and older)","96.1"
"Population with at least some secondary education, male (% ages 25 and older)","96.0"
"Primary school dropout rate (% of primary school cohort)","n.a."
"Primary school teachers trained to teach (%)","n.a."
"Programme for International Student Assessment (PISA) score in mathematics","478"
"Programme for International Student Assessment (PISA) score in reading","505"
"Programme for International Student Assessment (PISA) score in science","502"
"Pupil-teacher ratio, primary school (pupils per teacher)","14"
"Survival rate to the last grade of lower secondary general education (%)","n.a."
"Gross national income (GNI) per capita (constant 2017 PPP$)","63,826"
"Estimated gross national income per capita, female (2017 PPP $)","50,590"
"Estimated gross national income per capita, male (2017 PPP $)","77,338"
"GDP per capita (2017 PPP $)","62,683"
"Gross domestic product (GDP), total (2017 PPP $ billions)","20,575.0"
"Gross fixed capital formation (% of GDP)","20.7"
"Income index","0.976"
"Labour share of GDP, comprising wages and social protection transfers (%)","58.6"
"Inequality-adjusted HDI (IHDI)","0.808"
"Coefficient of human inequality","12.1"
"Income inequality, Gini coefficient","41.4"
"Income inequality, quintile ratio","9.4"
"Income share held by poorest 40% ","15.4"
" Income share held by richest 1% ","20.5"
" Income share held by richest 10 % ","30.5"
"Inequality in education (%)","2.8"
"Inequality in income (%)","27.1"
"Inequality in life expectancy (%)","6.3"
"Inequality-adjusted education index","0.875"
"Inequality-adjusted income index","0.711"
"Inequality-adjusted life expectancy index","0.848"
"Overall loss in HDI due to inequality (%)","12.7"
"Gender Development Index (GDI)","0.994"
"Adolescent birth rate (births per 1,000 women ages 15-19)","19.9"
"Antenatal care coverage, at least one visit (%)","n.a."
"Child marriage, women married by age 18 (% of women ages 20–24 who are married or in union)
"
"n.a."
"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","75.9"
"Female share of employment in senior and middle management (%)","40.9"
"Gender Inequality Index (GII)","0.204"
"Human Development Index (HDI), female","0.922"
"Human Development Index (HDI), male","0.928"
"Mandatory paid maternity leave (days)","n.a."
"Maternal mortality ratio (deaths per 100,000 live births)","19"
" Prevalence of female genital mutilation/cutting among girls and women (% of girls and young women ages 15–49) ","n.a."
"Proportion of births attended by skilled health personnel (%)","99.1"
"Share of employment in nonagriculture, female (% of total employment in nonagriculture)","46.3"
"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)","34.0"
" Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)","66.0"
"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)","10.4"
"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)","28.44"
"Share of seats held by women in local government (%)","n.a."
"Share of seats in parliament (% held by women)","23.7"
"Total unemployment rate (female to male ratio)","0.97"
"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","9.0"
"Violence against women ever experienced, intimate partner (% of female population ages 15 and older)","n.a."
"Violence against women ever experienced, nonintimate partner (% of female population ages 15 and older)","n.a."
"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)","92.7"
"Youth unemployment rate (female to male ratio)","0.76"
"Population in multidimensional poverty, headcount (%)","n.a."
"Multidimensional poverty index (MPI)","n.a."
"Population in multidimensional poverty, intensity of deprivation (%)","n.a."
"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)","n.a."
"Population in multidimensional poverty, headcount (thousands) (projection for 2019)","n.a."
"Population in severe multidimensional poverty (%)","n.a."
"Population vulnerable to multidimensional poverty (%)","n.a."
"Contribution of deprivation in health to the Multidimensional Poverty Index","n.a."
"Contribution of deprivation in education to the Multidimensional Poverty Index","n.a."
"Contribution of deprivation in standard of living to the Multidimensional Poverty Index","n.a."
"Population living below income poverty line, national poverty line (%)","n.a."
"Population living below income poverty line, PPP $1.90 a day (%)","1.0"
"Working poor at PPP$3.20 a day (% of total employment)","n.a."
